2317579	Zumbula	Zumbula		11.41545	14.34905	P	PPL	NG		27	103	10303		0		307	Africa/Lagos	2016-06-22
2317580	Zumba	Zumba		9.9357	6.82572	P	PPL	NG		31	27022			0		391	Africa/Lagos	2016-01-30
2317581	Zumakweri	Zumakweri	Zubokweri,Zumakweri	9.56845	7.07474	P	PPL	NG		31	27019			0		524	Africa/Lagos	2016-01-30
2317582	Zumaki	Zumaki		11.61682	9.62738	P	PPL	NG		39	18022	JI0307		0		402	Africa/Lagos	2016-06-22
2317583	Zum Ahmadu	Zum Ahmadu		10.13333	13.1	P	PPL	NG		35	2007			0		489	Africa/Lagos	2016-01-30
2317584	River Zuma	River Zuma	River Zuma,Zuma	9.03729	7.2485	H	STM	NG		11				0		309	Africa/Lagos	2015-08-07
2317585	Zum	Zum	Zum,Zum Ahmadu	10.11457	13.04785	P	PPL	NG		35	2007			0		550	Africa/Lagos	2016-01-30
2317586	Zull	Zull	Zull,Zull (1)	10.22106	9.57238	P	PPL	NG		46	5018	BA1806		0		681	Africa/Lagos	2016-06-22
2317587	Zull	Zull	Zull,Zull (2)	10.19667	9.55958	P	PPL	NG		46	5018	BA1806		0		647	Africa/Lagos	2016-06-22
2317588	Zulika	Zulika		9.55591	5.53738	P	PPL	NG		31	27013			0		162	Africa/Lagos	2016-01-30
2317589	Zukuku	Zukuku	Zukuki,Zukuku	12.55595	3.7884	P	PPL	NG		40	502	50208		0		232	Africa/Lagos	2016-06-22
2317590	Zuku Hill	Zuku Hill		12.16308	3.69879	T	HLL	NG		40	508	50808		0	263	267	Africa/Lagos	2016-06-22
2317591	Zuku	Zuku		10.50468	8.90287	P	PPL	NG		46	5018	BA1808		0		840	Africa/Lagos	2016-06-22
2317592	River Zukozuko	River Zukozuko		10.16667	6.28333	H	STM	NG		00				0		269	Africa/Lagos	1994-01-05
2317593	Zui	Zui	Zui	8.8379	6.7897	P	PPL	NG		11	15001			0		148	Africa/Lagos	2022-12-20
2317594	Zuguum	Zuguum		11.31667	4.31667	P	PPL	NG		40	513	51312		0		158	Africa/Lagos	2016-06-22
2317595	Zuguru	Zuguru		12.40872	4.07697	P	PPL	NG		40	512	51210		0		225	Africa/Lagos	2018-05-09
