7007776	Dan Galadima	Dan Galadima		13.00902	4.99856	P	PPL	NG		51	621	62109		0		256	Africa/Lagos	2016-06-22
7007778	Yarume Roga	Yarume Roga		13.01075	4.99197	P	PPL	NG		51	621	62109		0		246	Africa/Lagos	2016-06-22
7007779	Jekanadu	Jekanadu		13.01864	4.95772	P	PPL	NG		51	615	61509		0		255	Africa/Lagos	2016-06-22
7007783	Tungan Mudi	Tungan Mudi		13.01156	4.70633	P	PPL	NG		51	615	61506		0		232	Africa/Lagos	2016-06-22
7007784	Tungan Fako	Tungan Fako		13.01765	4.70343	P	PPL	NG		51	615	61506		0		231	Africa/Lagos	2016-06-22
7009167	Horgoma Hill	Horgoma Hill	Horgoma Hill,Horgoma Hills	13.60702	4.93736	T	HLL	NG		51	619	61907		0		313	Africa/Lagos	2016-06-22
7009168	Sabarumowa	Sabarumowa		13.44873	4.14726	P	PPL	NG		51	606	60602		0		229	Africa/Lagos	2016-06-22
7009169	Alfagei	Alfagei		13.44865	4.14841	P	PPL	NG		51	606	60602		0		229	Africa/Lagos	2016-06-22
7009170	Lamude	Lamude		13.34074	4.97634	S	CMP	NG		51	619	61909		0		259	Africa/Lagos	2016-06-22
7009171	Kiliuli Lake	Kiliuli Lake		13.17204	4.85883	H	LK	NG		51				0		237	Africa/Lagos	2009-11-28
7009172	River Daaki	River Daaki		13.59403	4.42179	H	STM	NG		51				0		237	Africa/Lagos	2018-05-10
7009173	River Hoko	River Hoko		13.54272	4.49954	H	STM	NG		51				0		253	Africa/Lagos	2018-05-10
7009174	River Kadeche	River Kadeche		13.56821	4.36801	H	STM	NG		51				0		227	Africa/Lagos	2018-05-10
7009176	River Kitchura	River Kitchura		13.54211	4.4993	H	STM	NG		51				0		253	Africa/Lagos	2018-05-10
7009177	River Algali	River Algali		13.56746	4.62318	H	STM	NG		51				0		249	Africa/Lagos	2009-11-28
7009178	River Sudiundu	River Sudiundu		13.5161	4.64786	H	STM	NG		51				0		244	Africa/Lagos	2009-11-28
7009179	River Bella	River Bella		13.51641	4.64835	H	STM	NG		51				0		241	Africa/Lagos	2009-11-28
7009180	River Masaka	River Masaka		13.5995	4.93738	H	STM	NG		51				0		245	Africa/Lagos	2009-11-28
7009181	River Gudu	River Gudu		13.59579	4.93705	H	STM	NG		51				0		251	Africa/Lagos	2009-11-28
7009182	River Maliba	River Maliba		13.57236	4.88362	H	STM	NG		51				0		243	Africa/Lagos	2009-11-28
7009183	River Bella Bornu	River Bella Bornu		13.59361	4.82762	H	STM	NG		51				0		250	Africa/Lagos	2009-11-28
7009184	River Baori	River Baori		13.51575	4.31093	H	STM	NG		51				0		229	Africa/Lagos	2018-05-10
7009188	River Dogoso	River Dogoso		13.46703	4.16803	H	STM	NG		00				0		221	Africa/Lagos	2009-11-28
7009189	River Dankeji	River Dankeji		13.45911	4.19938	H	STM	NG		51				0		227	Africa/Lagos	2009-11-28
7009190	River Kutumbu Mochera	River Kutumbu Mochera	River Kutumbu Mochera,River Kutumbu Mockera	13.45203	4.20528	H	STM	NG		51				0		230	Africa/Lagos	2012-01-20
7009191	River Illa	River Illa		13.40231	4.27202	H	STM	NG		51				0		248	Africa/Lagos	2009-11-28
7009192	River Udanmata	River Udanmata		13.30334	4.43034	H	STM	NG		51				0		241	Africa/Lagos	2009-11-28
7009193	River Takoda	River Takoda		13.33478	4.45082	H	STM	NG		51				0		247	Africa/Lagos	2009-11-28
7009194	River Udasoba	River Udasoba		13.30372	4.42909	H	STM	NG		51				0		245	Africa/Lagos	2009-11-28
7009198	River Angwa Sarkin	River Angwa Sarkin		13.16738	4.18185	H	STM	NG		40				0		212	Africa/Lagos	2009-11-28
7009199	River Ferakam	River Ferakam	River Farakam,River Ferakam	13.27726	4.24269	H	STM	NG		51				0		234	Africa/Lagos	2012-01-20
7009200	River Kondolache	River Kondolache		13.23176	4.48858	H	STM	NG		51				0		221	Africa/Lagos	2009-11-28
7009201	River Katsura	River Katsura		13.23227	4.48959	H	STM	NG		51				0		222	Africa/Lagos	2009-11-28
7009202	River Karfin	River Karfin		13.21187	4.48504	H	STM	NG		51				0		221	Africa/Lagos	2009-11-28
7009203	River Yamiriru	River Yamiriru		13.15676	4.83003	H	STM	NG		51				0		236	Africa/Lagos	2009-11-28
7009204	Toidi Lake	Toidi Lake		13.24035	4.93637	H	LK	NG		51				0		247	Africa/Lagos	2009-11-28
7009205	River Nelbru	River Nelbru		13.10418	4.73649	H	STM	NG		51				0		230	Africa/Lagos	2009-11-28
7009206	River Takasaba	River Takasaba		13.17075	4.43212	H	STM	NG		00				0		220	Africa/Lagos	2009-11-28
7009207	Barkin Daji	Barkin Daji		11.86307	5.11488	P	PPL	NG		57	806	80601		0		300	Africa/Lagos	2016-06-22
7009208	Ragam	Ragam		11.70307	5.68316	P	PPL	NG		57	804	80401		0		391	Africa/Lagos	2016-06-22
7009209	Ranko	Ranko		11.48675	5.88505	P	PPL	NG		40	519	51909		0		415	Africa/Lagos	2016-06-22
7009210	Surimi	Surimi		11.56626	5.8163	P	PPL	NG		40	519	51908		0		405	Africa/Lagos	2016-06-22
7009211	Mahunju	Mahunju		11.10408	5.38163	P	PPL	NG		31	27021			0		301	Africa/Lagos	2016-01-30
7009212	Ma-e-e	Ma-e-e		11.22196	5.42145	P	PPL	NG		40	516	51603		0		348	Africa/Lagos	2016-06-22
7009213	Kariskin	Kariskin		11.01134	5.592	P	PPL	NG		40	516	51608		0		528	Africa/Lagos	2016-06-22
7009214	Gulbin-Ka	Gulbin-Ka	Gulbin-Ka	11.66052	5.6934	H	STM	NG		57				0		373	Africa/Lagos	2020-10-16
7009271	River Sokobi	River Sokobi		13.16263	4.21605	H	STM	NG		40				0		217	Africa/Lagos	2009-11-28
7009274	River Merina	River Merina		13.01302	4.38515	H	STM	NG		40				0		241	Africa/Lagos	2009-11-28
7009275	River Wuyen Guden	River Wuyen Guden		13.04015	4.67589	H	STM	NG		00				0		227	Africa/Lagos	2009-11-28
7009276	River Sokoto	River Sokoto		13.05102	4.72392	H	STM	NG		51				0		232	Africa/Lagos	2009-11-28
7009277	River Uda Sofo	River Uda Sofo		13.1692	4.42739	H	STM	NG		51				0		220	Africa/Lagos	2009-11-28
7009278	River Da	River Da		13.16666	4.18243	H	STM	NG		40				0		214	Africa/Lagos	2009-11-28
7011238	Mayo Lugungel	Mayo Lugungel		10.47064	13.26973	P	PPL	NG		35	2014			0		497	Africa/Lagos	2016-01-30
7012006	Tumbulumkum	Tumbulumkum		13.6943	5.16047	P	PPL	NG		51	608	60808		0		305	Africa/Lagos	2016-06-22
7012007	Munwadata	Munwadata		13.69261	5.26602	P	PPL	NG		51	608	60808		0		282	Africa/Lagos	2016-06-22
7012008	Gidan Barau	Gidan Barau		13.87722	5.52567	P	PPL	NG		51	604	60404		0		320	Africa/Lagos	2016-06-22
7012009	Rafinduma Salo	Rafinduma Salo		13.87627	5.53637	P	PPL	NG		51	604	60404		0		309	Africa/Lagos	2016-06-22
